"","Group.1","zipcode","income","num individuals","NUMDEP","tax paid"
"1",27501,27501,83962.1666666667,2,1,828.333333333333
"2",27502,27502,345752,2,1,5503.83333333333
"3",27503,27503,27178,2,1,377.833333333333
"4",27504,27504,65115.8333333333,2,1,558.666666666667
"5",27505,27505,24029.3333333333,2,1,124.666666666667
"6",27507,27507,7950.6,2,1,57
"7",27508,27508,7116,2,1,58.4
"8",27509,27509,16102.6,2,1,119.4
"9",27510,27510,78965.5,2,1,884.833333333333
"10",27511,27511,262600.5,2,1,2915.5
"11",27513,27513,475739.666666667,2,1,5839
"12",27514,27514,267691.666666667,2,1,3902.33333333333
"13",27516,27516,359960.833333333,2,1,5446.83333333333
"14",27517,27517,389067.166666667,2,0,5485.66666666667
"15",27518,27518,325565.833333333,2,1,3683.83333333333
"16",27519,27519,595410.833333333,2,1,8592.5
"17",27520,27520,197279,2,1,2061
"18",27521,27521,22066.5,2,1,160.666666666667
"19",27522,27522,63607.8333333333,2,1,769.666666666667
"20",27523,27523,128406.333333333,2,1,1828.83333333333
"21",27524,27524,47243.1666666667,2,1,355
"22",27525,27525,66595.1666666667,2,1,663.333333333333
"23",27526,27526,313066.5,2,1,4176.16666666667
"24",27527,27527,204674.833333333,2,1,2643.33333333333
"25",27529,27529,252041.166666667,2,1,2933.5
"26",27530,27530,124515.333333333,2,1,1029.5
"27",27534,27534,131258.333333333,2,1,1202
"28",27536,27536,44989,2,1,358
"29",27537,27537,70193.1666666667,2,1,517
"30",27539,27539,208108,2,1,3636
"31",27540,27540,306262.166666667,2,1,4936.5
"32",27541,27541,19790.1666666667,2,1,233
"33",27542,27542,34695.5,2,1,253.333333333333
"34",27544,27544,13564.3333333333,2,1,105.833333333333
"35",27545,27545,137266.166666667,2,1,1792.33333333333
"36",27546,27546,63466.3333333333,2,1,503.833333333333
"37",27549,27549,80446,2,1,652
"38",27551,27551,7854.66666666667,2,0,91.6666666666667
"39",27553,27553,7776.8,2,1,83.4
"40",27557,27557,24692.3333333333,2,1,151.833333333333
"41",27559,27559,12832.6666666667,2,1,168.333333333333
"42",27560,27560,260196.833333333,2,1,2752.16666666667
"43",27562,27562,22882.5,2,1,455.5
"44",27563,27563,13219.6,2,1,75.8
"45",27565,27565,94607.8333333333,2,1,885.166666666667
"46",27569,27569,30783,2,1,237.166666666667
"47",27571,27571,51937.3333333333,2,1,1095.66666666667
"48",27572,27572,36215.5,2,1,348
"49",27573,27573,32333.3333333333,2,1,215.666666666667
"50",27574,27574,54630.3333333333,2,1,347
"51",27576,27576,51693.5,2,1,350.666666666667
"52",27577,27577,100051,2,1,802.5
"53",27581,27581,16116.3333333333,2,1,128.166666666667
"54",27583,27583,32313.8333333333,2,1,234.166666666667
"55",27587,27587,538245.166666667,2,1,9327.66666666667
"56",27589,27589,20938.8,2,1,168.6
"57",27591,27591,110317.333333333,2,1,1139.5
"58",27592,27592,82708.3333333333,2,1,762.666666666667
"59",27596,27596,98316,2,1,1270.16666666667
"60",27597,27597,108517.5,2,1,1214.16666666667
"61",27601,27601,54713.8333333333,2,0,801.166666666667
"62",27603,27603,281602.666666667,2,1,3459.33333333333
"63",27604,27604,198240.333333333,2,1,2349.16666666667
"64",27605,27605,60891.8333333333,1,0,784.333333333333
"65",27606,27606,253774,2,1,2586.33333333333
"66",27607,27607,202915.666666667,2,0,2893
"67",27608,27608,226360.166666667,2,0,3656.83333333333
"68",27609,27609,341729.166666667,2,1,4733
"69",27610,27610,210232.5,2,1,2197.83333333333
"70",27612,27612,351758.166666667,2,0,5489.5
"71",27613,27613,427247.833333333,2,1,6010.5
"72",27614,27614,433714.833333333,2,1,6578
"73",27615,27615,432137.833333333,2,1,6364.33333333333
"74",27616,27616,223515.666666667,2,1,2701.5
"75",27617,27617,158752.666666667,2,1,2350.16666666667
"76",27701,27701,116029.666666667,2,0,1324
"77",27703,27703,291865.166666667,2,1,4884.33333333333
"78",27704,27704,122527.5,2,1,1321
"79",27705,27705,317369.5,2,0,4283.5
"80",27707,27707,287037.333333333,2,1,3558.66666666667
"81",27712,27712,149482,2,1,2227.33333333333
"82",27713,27713,352990.333333333,2,1,5126.16666666667
