,zips,crime_category,0
701,27713,ASSAULT,1650
681,27709,ASSAULT,72
659,27707,ASSAULT,70
634,27703,ASSAULT,151
618,27617,LARCENY,2536
590,27616,LARCENY,5934
547,27615,ASSAULT,2738
516,27614,ASSAULT,7110
489,27613,ASSAULT,383
460,27612,ASSAULT,3111
432,27610,ASSAULT,2388
403,27609,ASSAULT,3379
380,27608,DRUGS,2411
345,27607,ASSAULT,1902
317,27606,ASSAULT,728
301,27605,LARCENY,1689
273,27604,LARCENY,2788
243,27603,LARCENY,270
206,27601,ASSAULT,918
179,27597,ASSAULT,1180
164,27592,LARCENY,409
129,27591,ASSAULT,385
101,27587,ASSAULT,332
89,27571,LARCENY FROM MV,257
58,27560,DRUGS,628
30,27545,ASSAULT,168
2,27529,ASSAULT,1448
